Column,Tape #,Format of original,Episode Recording Date,Episode Date,Episode Play Date,Episode title,Program Director,Program Producer,Keywords,Program Summary
1A,1,VHS,1982,1982,unknown,Programa Nosotros (1982). Estrella Roja,Dave Trautman,Red Star,Latinamerican culture; la cultura latinoamericano; preserve; preservar; Edmonton; youth; los jovenes; Red Star; estrella roja,"The introduction of the first episode of the program ""Nosotros."" The host discusses reasons why this show was established and talks to different members of the Latin American community in Edmonton about preserving their culture and language. This episode features two performances by ""Los jovenes de estrella roja."""
1B,1,VHS,1982,1982,unknown,Programa Nosotros (1982). El dia internacional de mujer,Dave Trautman,Red Star,International Day of Women; el dia internacional de mujer; King's College; women in the home; las mujeres en la casa; women in society; las mujeres en la sociedad; ,"This episode focusses on women, the celebration of women's acheivements and  the international day of women. There are several interviews with different females in the Latina community in Edmonton discussing the differences and difficulties between living in Edmonton, Canada and in Latin America. The interviews features what two latinoamerican women are doing in Edmonton."
1C,1,VHS,1982,1982,unknown,Programa Nosotros (1982). La comunidad de El Salvador en Edmonton,Dave Trautman,Red Star,El Salvador; politics; politicos; 1982; traditional dances; bailes tradicional; war; guerra; dance; bailes; corrupt government; gobierno corrupto,"Host of the show interviews guests from the El Salvadorian community in Edmonton, discusses the political and social turmoil and problems that are currently happening in El Salvador. The episode also features three traditional El Salvadorian dances."
1,1,VHS,1982,1982,unknown,Programa Nosotros (1982). La comunidad de Chile en Edmonton,Dave Trautman,Red Star,Chile; traditional dances; bailes tradicional; language; lenguaje; Edmonton Chilean Community; la communidad de Chilean en Edmonton ,"This episode focusses on the Chilean community in Edmonton, there were three guests on the show talking about the current issues in Chile, such as the government, politics and religion. Also features traditional Chilean dances from different regions in Chile."
1E,1,VHS,1982,1982,unknown,Programa Nosotros (1982). Pepe Fariña,Dave Trautman,Red Star,Pepe Fariña; Chilean artist; folk; Latinamerican music; artista chileno; folklore; música latinoamericana,"Chilean artist Pepe Fariña plays guitar and sings folk music. He discusses the movement of new popular music influenced by Chilean values and Latinamerican composers such as Silvio Rodriguez and Pablo Milanes, whose songs he covers. "
1,1,VHS,1982,1982,unknown,Programa Nosotros (1982). La Asociacion Ecuatoriana en Edmonton,Dave Trautman,Red Star,Ecuador; folklore; soccer; Ecuadorian culture; dance; fútbol; cultura ecuatoriana,"La Asociacion Ecuatoriana en Edmonton (The Ecuadorian Association of Edmonton) presents various aspects of Ecuadorian folklore, such as traditional clothing and dances. The host interviews Dona Blanco, a representative of the Centro Ecuatoriano, about the purpose of and the activities organized by the Centre, the geography of Ecuador, the demographics, and traditional art forms (of which examples are shown). Hugo Ruiz is then interviewed about Rio Masona, an Ecuadorian soccer club. "
1G,1,VHS,1982,1982,unknown,Programa Nosotros (1982). Estrella Roja,Dave Trautman,Red Star,folklore; Estrella Roja; instruments; Latin music; instrumentos; música Latina; grupo folklorico; folk band,"The folklore music group Estrella Roja’s manager, Jaime Calderon, is interviewed. He discusses their music, the reaction of the Canadian and Edmontonian public, their instruments, the group’s future plans and the lack of female Latin musicians. The group then performs a set. "
1H,1,VHS,1982,1982,unknown,Programa Nosotros (1982). Final Episode of the Year,Dave Trautman,Red Star,Summary; Director; Volunteers; Coordinator; Resumen; voluntarios; coordinador,"This is the last episode of the year. The host discusses the problem experienced by the producers of the show. They replay parts of performances on the show over the last three weeks. The host converses with youth who helped produce the show, about topics such as why they chose to help make the show, what their role was, if they would like to come back and help, and their experiences/impressions of the show. The host then interviews David Deltrama, the director of the show, in English. He discusses the importance of communication within cultural groups, the problems they experienced and when the show will start back up. Ivan, the coordinator of the Nosotros program finishes the episode by thanking those who made the show possible."
2,1,VHS,1983,1983,unknown,Programa Nosotros (1983). 16 programas,Dave Trautman,Red Star,,
2A,,VHS,unknown date,unknown,unknown date,Programa Nosotros (unknown date). Interview with a Woman from Nicaragua,unknown,unknown,Nicaragua; revolution; revolucion nicaraguense; immigration; inmigracion; United States of America imperialism; imperialismo de los Estados Unidos,This video features an interview with a woman (Julia) from Nicaragua who emigrated to Canada because of the political revolution in Nicaragua. They discuss the dangers of living in Nicaragua at the time and the influence of the United States and its imperialism as well.
